Player,Pos,3P,TRB,BLK
Willie Reed,C,0.0,4.7,0.7
Dwyane Wade,SG,0.8,4.5,0.7
Joel Embiid,C,1.2,7.8,2.5
Tony Snell,SG,1.8,3.1,0.2
Jamal Crawford,SG,1.4,1.6,0.2
Manu Ginobili,SG,1.3,2.3,0.2
Joe Harris,SG,1.6,2.8,0.2
Jason Smith,C,0.5,3.5,0.7
Kosta Koufos,C,0.0,5.7,0.7
Garrett Temple,SG,1.3,2.8,0.4
Marc Gasol,C,1.4,6.3,1.3
Jonas Valanciunas,C,0.0,9.5,0.8
Marcin Gortat,C,0.0,10.4,0.7
Al Horford,C,1.3,6.8,1.3
Roy Hibbert,C,0.0,3.2,1.0
Justin Hamilton,C,0.9,4.1,0.7
Austin Rivers,SG,1.5,2.2,0.1
Frank Kaminsky,C,1.5,4.5,0.5
Jamal Murray,SG,1.4,2.6,0.3
Georgios Papagiannis,C,0.0,3.9,0.8
Myles Turner,C,0.5,7.3,2.1
Channing Frye,C,1.9,3.9,0.5
Zach LaVine,SG,2.6,3.4,0.2
Salah Mejri,C,0.0,4.2,0.8
Jordan Clarkson,SG,1.4,3.0,0.1
Courtney Lee,SG,1.4,3.4,0.3
J.R. Smith,SG,2.3,2.8,0.3
Mason Plumlee,C,0.0,7.5,1.1
Ian Mahinmi,C,0.0,4.8,0.8
Robin Lopez,C,0.0,6.4,1.4
Troy Daniels,SG,2.1,1.5,0.1
Rodney Hood,SG,1.9,3.4,0.2
Allen Crabbe,SG,1.7,2.9,0.3
C.J. McCollum,SG,2.3,3.6,0.5
Justin Holiday,SG,1.2,2.7,0.4
Marreese Speights,C,1.3,4.5,0.5
Anthony Davis,C,0.5,11.8,2.2
Nikola Vucevic,C,0.3,10.4,1.0
Steven Adams,C,0.0,7.7,1.0
Marcus Smart,SG,1.2,3.9,0.4
John Henson,C,0.0,5.1,1.3
Will Barton,SG,1.5,4.3,0.5
Pau Gasol,C,0.9,7.8,1.1
Tim Hardaway,SG,1.9,2.8,0.2
Josh Richardson,SG,1.4,3.2,0.7
Eric Gordon,SG,3.3,2.7,0.5
Dewayne Dedmon,C,0.0,6.5,0.8
Timofey Mozgov,C,0.0,4.9,0.6
Devin Booker,SG,1.9,3.2,0.3
Montrezl Harrell,C,0.0,3.8,0.7
Alexis Ajinca,C,0.0,4.5,0.6
Rudy Gobert,C,0.0,12.8,2.6
Ben McLemore,SG,1.1,2.1,0.1
Evan Fournier,SG,1.9,3.1,0.1
DeAndre Jordan,C,0.0,13.8,1.7
Willie Cauley-Stein,C,0.0,4.5,0.6
Klay Thompson,SG,3.4,3.7,0.5
Nicolas Batum,SG,1.8,6.2,0.4
Denzel Valentine,SG,1.3,2.6,0.1
Edy Tavares,C,0.0,5.5,3.0
Alex Abrines,SG,1.4,1.3,0.1
Alex Len,C,0.0,6.6,1.3
Nene Hilario,C,0.0,4.2,0.6
Brook Lopez,C,1.8,5.4,1.7
DeMarcus Cousins,C,1.8,11.0,1.3
Tarik Black,C,0.0,5.1,0.7
Marco Belinelli,SG,1.4,2.4,0.1
Nikola Jokic,C,0.6,9.8,0.8
Danny Green,SG,1.7,3.3,0.8
Dwight Howard,C,0.0,12.7,1.2
Andrew Bogut,C,0.0,8.1,0.9
A.J. Hammons,C,0.2,1.6,0.6
Richaun Holmes,C,0.5,5.5,1.0
Wayne Ellington,SG,2.4,2.1,0.1
Sean Kilpatrick,SG,1.5,4.0,0.1
Kyle Korver,SG,2.4,2.8,0.3
Jodie Meeks,SG,1.6,2.1,0.1
Hassan Whiteside,C,0.0,14.1,2.1
Andre Drummond,C,0.0,13.8,1.1
Karl-Anthony Towns,C,1.2,12.3,1.3
