iter	MultiClass
0	1.0346358
1	0.9866336584
2	0.9504863065
3	0.9224689318
4	0.9002950976
5	0.8829353192
6	0.8688613962
7	0.8578309149
8	0.8486735459
9	0.8258945672
10	0.8068000861
11	0.7927170042
12	0.7816787941
13	0.7710847113
14	0.763304516
15	0.7569468179
16	0.7514331473
17	0.7467723735
18	0.7430264487
19	0.7396379912
20	0.736941424
21	0.7349156613
22	0.7325151957
23	0.730989616
24	0.7297695608
25	0.7284064314
26	0.7267328017
27	0.7257926895
28	0.7250660231
29	0.7242198539
30	0.7235228071
31	0.7228351179
32	0.7221908394
33	0.7215836589
34	0.7212567596
35	0.7209742387
36	0.7202255492
37	0.7201656336
38	0.7199901649
39	0.7196131863
40	0.7191113906
41	0.7188469866
42	0.7185400002
43	0.718365735
44	0.7182281376
45	0.7179462092
46	0.7178301914
47	0.7173165284
48	0.717084725
49	0.7166482311
50	0.7163685779
51	0.7159750022
52	0.7156835908
53	0.7150772293
54	0.7150422199
55	0.7146307496
56	0.7145463903
57	0.7143350508
58	0.7140480068
59	0.7136872207
60	0.7132079129
61	0.7130733678
62	0.7126330667
63	0.7122433609
64	0.7119019863
65	0.7118992157
66	0.7115499721
67	0.7113483696
68	0.7108894857
69	0.7107639268
70	0.7105421199
71	0.7103226664
72	0.7101698684
73	0.710112774
74	0.7099120968
75	0.7096769171
76	0.7093010293
77	0.7091405348
78	0.7087996248
79	0.70870232
80	0.7085815986
81	0.708245359
82	0.7079046609
83	0.7075267998
84	0.7072652483
85	0.7069035814
86	0.7065982075
87	0.7064157404
88	0.706055892
89	0.7057713074
90	0.7053814849
91	0.7051387499
92	0.7049801108
93	0.7047041639
94	0.704556791
95	0.7041816673
96	0.7039587512
97	0.7037646394
98	0.7035136906
99	0.7034569657
100	0.7031431551
101	0.7029378604
102	0.7027705074
103	0.7023976406
104	0.7022135461
105	0.7020341549
106	0.7017248597
107	0.7014351008
108	0.7012419754
109	0.7009347339
110	0.7007291364
111	0.7004007055
112	0.7002901193
113	0.7001596099
114	0.6998485193
115	0.6996563197
116	0.6995837291
117	0.6992528327
118	0.6991356936
119	0.6990054599
120	0.6988442775
121	0.698670385
122	0.6985033616
123	0.6983960547
124	0.6981380961
125	0.6979054128
126	0.6978027789
127	0.6975950221
128	0.6973442998
129	0.6972428881
130	0.6971623692
131	0.6970273052
132	0.6965620717
133	0.6962367488
134	0.6960559621
135	0.6957775044
136	0.6954962408
137	0.6954468094
138	0.695331447
139	0.6951664772
140	0.6950826871
141	0.6948560203
142	0.6946196313
143	0.694410867
144	0.6942793461
145	0.6939642239
146	0.6935914435
147	0.693397593
148	0.6932601949
149	0.6930066184
150	0.6926831421
151	0.692380169
152	0.6922207528
153	0.6920479883
154	0.691976853
155	0.6919084443
156	0.6918478922
157	0.6914777717
158	0.6913103025
159	0.6912095083
160	0.6910127238
161	0.6909323489
162	0.6907753677
163	0.6905899537
164	0.6904273532
165	0.6903383947
166	0.6901344396
167	0.6899043377
168	0.6897399259
169	0.6896400956
170	0.6895109815
171	0.6893293685
172	0.6889858659
173	0.6887810618
174	0.688653007
175	0.6885064401
176	0.6882860482
177	0.6880983364
178	0.6878510058
179	0.6878020948
180	0.6877170424
181	0.6876480442
182	0.6872656583
183	0.6869730926
184	0.6869621471
185	0.6866840301
186	0.6864395951
187	0.6863862616
188	0.6863320193
189	0.6862478121
190	0.6861548187
191	0.6859149656
192	0.685851394
193	0.6855172578
194	0.6851657811
195	0.6851167964
196	0.684755847
197	0.6846904444
198	0.6844730256
199	0.6844247668
200	0.6843433192
201	0.6840932177
202	0.6840578134
203	0.6838206467
