iter	Passed	Remaining
0	68	68013
1	184	92287
2	325	108323
3	371	92403
4	564	112359
5	720	119384
6	836	118664
7	1036	128496
8	1156	127361
9	1280	126814
10	1427	128335
11	1561	128597
12	1622	123155
13	1728	121710
14	1855	121865
15	2019	124219
16	2149	124287
17	2339	127625
18	2527	130508
19	2753	134938
20	2912	135786
21	3095	137600
22	3403	144579
23	3545	144168
24	3684	143708
25	3893	145871
26	4079	147007
27	4206	146022
28	4364	146146
29	4505	145674
30	4640	145050
31	4780	144600
32	4995	146377
33	5159	146589
34	5348	147469
35	5529	148067
36	5679	147823
37	5876	148762
38	6045	148968
39	6217	149229
40	6387	149397
41	6558	149591
42	6722	149614
43	6856	148962
44	6971	147951
45	7120	147663
46	7234	146698
47	7384	146451
48	7541	146375
49	7758	147402
50	7931	147592
51	8209	149662
52	8556	152889
53	8714	152670
54	8919	153250
55	9083	153129
56	9201	152220
57	9492	154173
58	9654	153981
59	9854	154390
60	10004	154001
61	10178	153992
62	10330	153642
63	10510	153711
64	10714	154121
65	10755	152211
66	10893	151698
67	11049	151438
68	11181	150867
69	11321	150420
70	11479	150203
71	11638	150002
72	11784	149640
73	11925	149235
74	12037	148461
75	12178	148064
76	12335	147865
77	12463	147328
78	12596	146855
79	12732	146421
80	12876	146096
81	12996	145495
82	13119	144949
83	13260	144602
84	13379	144030
85	13522	143713
86	13648	143228
87	13826	143291
88	13956	142857
89	14097	142539
90	14216	142008
91	14326	141392
92	14484	141258
93	14615	140864
94	14786	140862
95	14914	140440
96	15052	140127
97	15189	139800
98	15335	139564
99	15484	139362
100	15633	139152
101	15773	138871
102	15927	138704
103	16063	138397
104	16198	138074
105	16356	137949
106	16484	137573
107	16625	137316
108	16771	137096
109	16914	136849
110	17056	136608
111	17190	136298
112	17323	135982
113	17482	135871
114	17626	135644
115	17774	135453
116	17933	135345
117	18078	135130
118	18214	134847
119	18354	134601
120	18502	134407
121	18631	134083
122	18770	133836
123	18919	133660
124	19062	133434
125	19197	133163
126	19336	132920
127	19473	132662
128	19607	132390
129	19752	132187
130	19920	132147
131	20115	132276
132	20322	132481
133	20503	132504
134	20656	132355
135	20964	133184
136	21113	133002
137	21353	133383
138	21518	133288
139	21700	133300
140	21845	133087
141	21990	132872
142	22138	132674
143	22286	132483
144	22424	132229
145	22564	131984
146	22688	131657
147	22838	131475
148	22968	131181
149	23092	130858
150	23206	130478
151	23345	130245
152	23486	130022
153	23651	129931
154	23788	129685
155	23907	129344
156	24041	129088
157	24175	128832
158	24313	128599
159	24448	128352
160	24597	128180
161	24733	127944
162	24871	127712
163	25010	127490
164	25147	127259
165	25292	127069
166	25424	126816
167	25562	126595
168	25713	126435
169	25850	126211
170	25991	126003
171	26130	125792
172	26259	125530
173	26398	125318
174	26537	125107
175	26712	125063
176	26862	124903
177	26995	124663
178	27139	124478
179	27280	124277
180	27417	124061
181	27558	123860
182	27695	123645
183	27832	123429
184	27960	123178
185	28089	122930
186	28229	122728
187	28369	122531
188	28509	122332
189	28652	122149
190	28790	121944
191	28926	121733
192	29075	121574
193	29212	121367
194	29340	121121
195	29476	120914
196	29636	120803
197	29764	120560
198	29894	120329
199	30025	120102
200	30172	119940
201	30314	119755
202	30462	119599
203	30595	119382
204	30741	119218
205	30881	119029
206	31010	118799
207	31148	118603
208	31287	118413
209	31430	118239
210	31571	118054
211	31709	117864
212	31852	117688
213	31985	117479
214	32102	117210
215	32281	117169
216	32474	117178
217	32645	117104
218	32793	116946
219	32931	116757
220	33061	116539
221	33186	116300
222	33337	116158
223	33489	116017
224	33617	115794
225	33759	115619
226	33896	115426
227	34037	115250
228	34177	115070
229	34315	114883
230	34486	114806
231	34636	114660
232	34788	114518
233	34927	114334
234	35065	114149
235	35194	113935
236	35347	113797
237	35497	113650
238	35677	113601
239	35818	113424
240	35961	113256
241	36090	113042
242	36232	112873
243	36381	112724
244	36520	112543
245	36659	112364
246	36800	112190
247	36944	112026
248	37081	111839
249	37221	111664
250	37364	111499
251	37508	111336
252	37652	111171
253	37797	111011
254	37938	110840
255	38121	110790
256	38316	110774
257	38469	110635
258	38619	110490
259	38924	110784
260	39094	110691
261	39385	110939
262	39634	111066
263	39824	111026
264	39982	110893
265	40131	110739
266	40403	110920
267	40566	110800
268	40761	110768
269	40928	110658
270	41102	110566
271	41247	110398
272	41491	110492
273	41620	110280
274	41762	110101
275	41931	109992
276	42068	109803
277	42216	109641
278	42357	109461
279	42585	109506
280	42792	109494
281	43088	109707
282	43277	109647
283	43516	109710
284	43692	109613
285	43892	109576
286	44039	109408
287	44202	109279
288	44387	109202
289	44567	109114
290	44717	108951
291	44959	109011
292	45104	108836
293	45386	108989
294	45590	108954
295	45891	109147
296	46072	109053
297	46236	108919
298	46463	108933
299	46632	108808
300	46841	108778
301	47134	108941
302	47282	108766
303	47519	108794
304	47746	108798
305	48008	108882
306	48148	108687
307	48298	108513
308	48434	108311
309	48598	108171
310	48742	107986
311	48898	107827
312	49031	107617
313	49173	107429
314	49321	107255
