iter	MultiClass
0	1.090318356
1	1.08220959
2	1.073978437
3	1.06593793
4	1.058071433
5	1.050556506
6	1.043063527
7	1.036858889
8	1.029489245
9	1.022322681
10	1.014919394
11	1.008009456
12	1.001306372
13	0.99448085
14	0.9878238146
15	0.9811335407
16	0.9761525811
17	0.9697393636
18	0.9634584739
19	0.9569129352
20	0.9510808076
21	0.9449019689
22	0.9388167672
23	0.9344262082
24	0.9286409034
25	0.9242270512
26	0.9183676678
27	0.9149250589
28	0.90922876
29	0.9060100298
30	0.9006991842
31	0.8950300937
32	0.8924005651
33	0.8869840822
34	0.8818067061
35	0.877228203
36	0.8726659521
37	0.8687413062
38	0.8639134099
39	0.859928224
40	0.855729394
41	0.8520097404
42	0.8479660103
43	0.8438334003
44	0.8390312734
45	0.8358972056
46	0.8318964261
47	0.8270096664
48	0.8225185722
49	0.8180748361
50	0.8138277305
51	0.8092912413
52	0.8046673197
53	0.7999968946
54	0.7955666979
55	0.7919435754
56	0.7875861622
57	0.7839637297
58	0.7795862623
59	0.7757559966
60	0.7719124936
61	0.768520524
62	0.7655543148
63	0.7615312542
64	0.7583412765
65	0.7543030733
66	0.7503093015
67	0.7470328739
68	0.7435855257
69	0.740459652
70	0.7376046644
71	0.7346276051
72	0.7314438577
73	0.7276819408
74	0.723963027
75	0.7207201127
76	0.717854561
77	0.7144504537
78	0.7108988087
79	0.7077970571
80	0.7046643773
81	0.701268213
82	0.6977598092
83	0.6950971507
84	0.6920268707
85	0.6891619959
86	0.6857550189
87	0.6839042279
88	0.6804894418
89	0.6768858532
90	0.673705192
91	0.6706550586
92	0.6680442903
93	0.6651563305
94	0.6622811883
95	0.6599146427
96	0.6565982392
97	0.6541311597
98	0.651510373
99	0.648942356
100	0.6456826742
101	0.6427104292
102	0.6398772164
103	0.6380802415
104	0.6355211038
105	0.6329695463
106	0.630136704
107	0.6273078251
108	0.6242251651
109	0.6214764087
110	0.6195741971
111	0.6168330937
112	0.6141337527
113	0.6117581179
114	0.6092206613
115	0.6071233
116	0.6049887548
117	0.6025030538
118	0.6006185757
119	0.5981005453
120	0.5958921098
121	0.5932827412
122	0.5907209892
123	0.5881167484
124	0.5858329659
125	0.5834157487
126	0.5815841226
127	0.5793126589
128	0.5767423563
129	0.5746927163
130	0.5720997957
131	0.5706137741
132	0.5685140596
133	0.5665072867
134	0.5641169601
135	0.5619536769
136	0.5597310579
137	0.5579749344
138	0.5559178829
139	0.5537337268
140	0.5515971121
141	0.5493672067
142	0.5472847732
143	0.5452174432
144	0.5428215561
145	0.5410067648
146	0.5386742634
147	0.5366129019
148	0.5350005588
149	0.5329710925
150	0.5312024313
151	0.5292935099
152	0.5273648139
153	0.5252999765
154	0.5233928608
155	0.5218236774
156	0.5196978956
157	0.5177364393
158	0.5160191479
159	0.5141534333
160	0.5126080063
161	0.5106457364
162	0.50966789
163	0.5080930013
164	0.5063164384
165	0.5050232014
166	0.5032943246
167	0.5017591658
168	0.5000877602
169	0.4983320598
170	0.4968543921
171	0.49511445
172	0.4931798028
173	0.4916673016
174	0.4901019152
175	0.4883311513
176	0.4865977889
177	0.485232256
178	0.4839852307
179	0.4822290577
180	0.4806456884
181	0.4793918532
182	0.4777969415
183	0.4762159512
184	0.4747733154
185	0.4733946661
186	0.4717759224
187	0.4703835479
188	0.4688344131
189	0.4672288724
190	0.4657713162
191	0.4643444019
192	0.4629125546
193	0.461479378
194	0.4602710344
195	0.4588156715
196	0.4573040527
197	0.4559846609
198	0.4545408586
199	0.4531392359
200	0.4519574416
201	0.4507289197
202	0.4493834876
203	0.4480095259
204	0.4467047604
205	0.4451292328
206	0.4439822721
207	0.4427629569
208	0.4418143457
209	0.4403234919
210	0.438650786
211	0.4374052512
212	0.4360625164
213	0.4351205252
214	0.4337856676
215	0.4328321697
216	0.4315647189
217	0.4300354077
218	0.4286837652
219	0.4276296919
220	0.4263825818
221	0.4251061691
222	0.4238384145
223	0.422980657
224	0.422066126
225	0.4210958557
226	0.4201084656
227	0.4191170246
228	0.4178936264
229	0.4170171206
230	0.4160528354
231	0.4149529707
232	0.4137364881
233	0.4125789429
234	0.4114263505
235	0.4102464362
236	0.4090618418
237	0.4080498647
238	0.4069401249
239	0.405778216
240	0.4048247932
241	0.4036053431
242	0.4027086773
243	0.4016989992
244	0.4003744351
245	0.3993847646
246	0.3983433192
247	0.3975682803
248	0.3963917455
249	0.3954567441
250	0.3945231621
251	0.3938222445
252	0.3927667651
253	0.3918533575
254	0.3908137883
255	0.3899775051
256	0.389004473
257	0.3880036333
258	0.3873002163
259	0.3863838187
260	0.3852952425
261	0.3841679214
262	0.3833990099
263	0.3824715158
264	0.3814020583
265	0.3804208594
266	0.3796306505
267	0.3786889469
268	0.3778701373
269	0.3768396773
270	0.3759204458
271	0.3747875789
272	0.3740908553
273	0.3731645921
274	0.3722426612
275	0.3712850794
276	0.370543339
277	0.3697280653
278	0.3687843227
279	0.3678763114
280	0.3670276375
281	0.3663563146
282	0.3653880123
283	0.3644934503
284	0.3636081801
285	0.3628208648
286	0.3619315889
287	0.3613095794
288	0.3604080871
289	0.3595027829
290	0.3587874008
291	0.3581355796
292	0.3576466931
293	0.3567650068
294	0.3561536953
295	0.355330686
296	0.3545435227
297	0.3536738729
298	0.3528607044
299	0.3521137379
300	0.3513053023
301	0.3506645125
302	0.3499305208
303	0.3491223083
304	0.3485617434
305	0.3479336728
306	0.3473949043
307	0.3468496573
308	0.3462386059
309	0.3454092083
310	0.3445941178
311	0.3437933187
312	0.3431133084
313	0.3425093275
314	0.3417922936
315	0.3410439228
316	0.3404621993
317	0.3396624303
318	0.3388601375
319	0.3382164191
320	0.3374158673
321	0.3366584437
322	0.3358296624
323	0.3350950581
324	0.3345771564
325	0.3338153704
326	0.3334660859
327	0.3327529835
328	0.3320984938
329	0.3311490072
330	0.3305615012
331	0.3299177097
332	0.3293240807
333	0.3287644766
334	0.3279448496
335	0.3273758891
336	0.3266676685
337	0.3259252513
338	0.3252870174
339	0.324655385
340	0.3238496647
341	0.3233888901
342	0.3227674646
343	0.3221447088
344	0.3215017725
345	0.3210256721
346	0.3204091858
347	0.3199311015
348	0.3193580945
349	0.3188572467
350	0.3182582945
351	0.3177840119
