iter	Passed	Remaining
0	15	152561
1	30	152655
2	46	155080
3	58	147380
4	70	141806
5	84	141287
6	96	137497
7	108	135943
8	119	132655
9	129	129500
10	142	129377
11	153	127495
12	164	126274
13	178	127049
14	190	126808
15	200	125415
16	210	123777
17	221	122778
18	231	121785
19	242	120807
20	252	119819
21	263	119661
22	274	119227
23	286	118893
24	298	119050
25	311	119585
26	323	119498
27	335	119628
28	348	119755
29	360	119914
30	372	119709
31	382	119261
32	393	118947
33	404	118574
34	415	118240
35	426	117932
36	437	117791
37	451	118410
38	463	118258
39	472	117743
40	483	117533
41	495	117464
42	507	117468
43	517	117070
44	528	116970
45	540	116963
46	551	116786
47	563	116760
48	574	116673
49	587	116922
50	598	116849
51	609	116595
52	620	116547
53	632	116528
54	644	116459
55	656	116623
56	668	116591
57	680	116581
58	690	116372
59	701	116295
60	712	116122
61	722	115814
62	733	115772
63	745	115750
64	756	115578
65	766	115428
66	778	115385
67	790	115389
68	799	115135
69	810	114909
70	836	117015
71	846	116767
72	861	117132
73	873	117122
74	885	117170
75	895	116981
76	906	116841
77	917	116662
78	927	116537
79	939	116470
80	951	116478
81	962	116411
82	973	116276
83	985	116369
84	996	116199
85	1007	116146
86	1018	116063
87	1029	115941
88	1040	115863
89	1051	115789
90	1062	115700
91	1074	115684
92	1086	115778
93	1098	115716
94	1108	115548
95	1118	115377
96	1129	115310
97	1160	117305
98	1186	118623
99	1202	119059
100	1233	120866
101	1249	121295
102	1268	121911
103	1280	121851
104	1291	121717
105	1316	122905
106	1330	122972
107	1342	122924
108	1353	122781
109	1364	122705
110	1375	122542
111	1387	122501
112	1398	122380
113	1409	122226
114	1419	122046
115	1430	121905
116	1444	122043
117	1455	121932
118	1468	121919
119	1482	122025
120	1492	121841
121	1502	121665
122	1515	121671
123	1527	121625
124	1538	121547
125	1550	121502
126	1562	121439
127	1574	121451
128	1587	121461
129	1598	121394
130	1609	121247
131	1620	121141
132	1632	121078
133	1644	121095
134	1657	121134
135	1670	121132
136	1682	121123
137	1694	121064
138	1707	121137
139	1718	121001
140	1729	120959
141	1741	120901
142	1752	120824
143	1764	120771
144	1775	120693
